city_name,state_abbr,year,city_key,median_household_income,median_gross_rent,median_home_value,unemployed_population,total_population,commute_total,commute_public_transit,avg_high_temp_c,avg_low_temp_c,annual_precip_mm,snow_days,avg_sunshine_hrs_per_day,city_state,days_with_aqi,good_days,moderate_days,unhealthy_sens_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm25,days_pm10,arrests_per_person,arrests_per_100k
Birmingham,AL,2020,birmingham_al,38832,870,97500,8585,210928,92366,1778,22.8,13.1,1591.6,0,9.2,"Birmingham, AL",366.0,119.0,244.0,3.0,0.0,0.0,0.0,129.0,54.0,0.0,0.0,58.0,308.0,0.0,0.0307891021597428,3078.9102159742874
Phoenix,AZ,2020,phoenix_az,60914,1100,250800,46542,1658422,810662,21987,31.0,17.3,167.1,0,11.2,,,,,,,,,,,,,,,,0.0290006421012103,2900.064210121039
Los Angeles,CA,2020,los_angeles_ca,65290,1523,670700,148407,3973278,1956957,161161,26.0,13.1,285.9,0,10.8,"Los Angeles, CA",366.0,35.0,189.0,79.0,46.0,17.0,0.0,250.0,85.0,0.0,9.0,181.0,174.0,2.0,0.0217364043164151,2173.6404316415183
Denver,CO,2020,denver_co,72661,1397,427600,18531,715878,400938,24704,18.5,3.0,282.5,62,10.5,"Denver, CO",366.0,61.0,270.0,31.0,4.0,0.0,0.0,161.0,62.0,0.0,44.0,217.0,95.0,10.0,0.0285926943641088,2859.2694364108884
Jacksonville,FL,2020,jacksonville_fl,55531,1089,187700,25039,902488,439359,7673,25.9,17.8,1233.1,0,9.4,"Jacksonville, FL",366.0,158.0,205.0,3.0,0.0,0.0,0.0,140.0,52.0,0.0,0.0,41.0,325.0,0.0,,
Atlanta,GA,2020,atlanta_ga,64179,1227,314400,18248,497642,252548,24883,21.8,12.3,1751.1,2,8.8,,,,,,,,,,,,,,,,0.0182002613232386,1820.0261323238672
Chicago,IL,2020,chicago_il,62097,1154,267600,120061,2699347,1333008,348730,14.8,6.8,1089.5,46,8.3,"Chicago, IL",366.0,62.0,280.0,19.0,5.0,0.0,0.0,197.0,60.0,0.0,2.0,68.0,269.0,27.0,0.0387789633619945,3877.896336199455
New Orleans,LA,2020,new_orleans_la,43258,1025,250000,16721,391249,176008,10077,25.0,18.3,1839.4,0,9.3,"New Orleans, LA",366.0,199.0,167.0,0.0,0.0,0.0,0.0,90.0,48.0,0.0,2.0,127.0,237.0,0.0,0.0346056743873463,3460.567438734637
Baltimore,MD,2020,baltimore_md,52164,1094,167300,23041,602274,276972,44655,18.6,9.7,1929.4,7,8.3,"Baltimore, MD",365.0,232.0,130.0,3.0,0.0,0.0,0.0,119.0,46.0,0.0,10.0,152.0,203.0,0.0,0.0073343654324456,733.4365432445675
Detroit,MI,2020,detroit_mi,32498,850,52700,42752,672351,237484,15727,15.1,6.5,955.6,54,8.5,"Detroit, MI",366.0,117.0,230.0,17.0,2.0,0.0,0.0,188.0,55.0,0.0,3.0,54.0,305.0,4.0,0.0166216677521952,1662.1667752195217
